NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
24,88,2,2,84.85000000000001,0.0055761523300938785,10,30080.0,17812,880.0,0.5457107843137254,8096363636.363637,2728553921.5686274,6.528e-06
24,96,2,2,84.94,0.005562488392147704,10,31360.0,18452,960.0,0.5439858490566037,7688333333.333334,2719929245.2830186,6.784000000000001e-06
24,12,2,8,84.91,0.005865108883564851,14,32900.0,19228,336.0,0.5422447828539199,22890476190.47619,2711223914.2695994,7.092e-06
24,14,2,8,85.17,0.005908131643131357,12,29736.0,17688,288.0,0.547683923705722,24566666666.666664,2738419618.52861,6.4592e-06
24,16,2,8,85.07000000000001,0.005884392484464466,11,28666.0,17174,264.0,0.5499903926215334,26021212121.21212,2749951963.107667,6.245199999999999e-06
24,18,2,8,85.28999999999999,0.005723634669623648,11,30074.0,17878,264.0,0.5478335478335479,27087878787.878788,2739167739.1677394,6.526799999999999e-06
24,20,2,8,84.89999999999999,0.005736648562069946,10,28620.0,17172,240.0,0.5507376523412444,28620000000.0,2753688261.706222,6.236e-06
24,22,2,8,85.2,0.0054822601499446896,11,32890.0,19286,264.0,0.544033850493653,29221212121.21212,2720169252.468265,7.09e-06
24,24,2,8,84.94,0.005562488392147704,10,31180.0,18452,240.0,0.5468879668049793,30753333333.333336,2734439834.0248966,6.747999999999999e-06
24,6,2,16,84.93,0.005989414713181759,14,32858.0,19228,336.0,0.5428877971652832,22890476190.47619,2714438985.826416,7.083599999999999e-06
24,7,2,16,85.13,0.005933088684411286,13,32175.0,18906,312.0,0.5442925003598675,24238461538.46154,2721462501.799338,6.947e-06
24,8,2,16,85.0,0.005990865559119743,11,28633.0,17174,264.0,0.5505722437726412,26021212121.21212,2752861218.8632064,6.2386e-06
24,9,2,16,85.27,0.005970307444543074,10,27310.0,16532,240.0,0.5534650150652829,27553333333.333336,2767325075.3264146,5.974e-06
24,10,2,16,85.3,0.005811991282864949,10,28590.0,17172,240.0,0.5512680577849117,28620000000.0,2756340288.9245586,6.23e-06
24,11,2,16,85.0,0.005671404569086493,10,29870.0,17812,240.0,0.5492445266728337,29686666666.666668,2746222633.3641686,6.486000000000001e-06
24,12,2,16,84.94,0.005562488392147704,10,31150.0,18452,240.0,0.5473746662711362,30753333333.333336,2736873331.355681,6.742e-06
24,3,2,32,85.59,0.005959987743770692,15,35182.5,20382,360.0,0.5400278200967079,22646666666.666668,2700139100.4835396,7.548500000000001e-06
24,4,2,32,85.54,0.005913484061969992,12,31218.0,18456,288.0,0.5463911421635383,25633333333.333332,2731955710.817692,6.7556e-06
24,5,2,32,85.17,0.005834457731833307,10,28575.0,17172,240.0,0.5515336438092179,28620000000.0,2757668219.046089,6.227000000000001e-06
24,6,2,32,84.94,0.005562488392147704,10,31135.0,18452,240.0,0.5476183410001484,30753333333.333336,2738091705.000742,6.739e-06
24,2,2,64,84.89,0.005852036052071189,12,31209.0,18456,288.0,0.54653676448814,25633333333.333332,2732683822.4407,6.7538e-06
24,3,2,64,84.94,0.005562488392147704,10,31127.5,18452,240.0,0.5477402597402597,30753333333.333336,2738701298.7012987,6.7375e-06
